Timestamp,Your Name,Project ID (see spreadsheet),Project's Team Name,Technical Complexity,Usefulness,Originality,Design,Presentation,Any comments?
03/31/2025 22:44:46,Judge 1,1A,Project 1,2.08,2.6,2.3,2.64,3.0,12.62
03/31/2025 22:02:43,Judge 3,1A,Project 1,3.0,3.0,2.84,1.19,1.2,11.23
03/31/2025 22:33:34,Judge 14,1A,Project 1,1.62,2.09,1.79,1.92,0.0,7.41
03/31/2025 22:54:32,Judge 2,2A,Project 2,3.0,2.23,3.0,0.91,1.56,10.7
03/31/2025 22:49:47,Judge 16,2A,Project 2,0.0,1.97,2.27,3.0,2.09,9.33
03/31/2025 22:44:18,Judge 18,2A,Project 2,1.91,2.98,1.74,0.0,1.88,8.51
03/31/2025 22:50:34,Judge 18,3A,Project 3,0.0,0.82,2.45,3.0,0.99,7.25
03/31/2025 22:17:46,Judge 19,3A,Project 3,1.7,1.76,3.0,1.36,1.15,8.97
03/31/2025 22:03:30,Judge 11,3A,Project 3,2.09,1.25,1.96,1.93,1.84,9.05
03/31/2025 22:32:24,Judge 12,4A,Project 4,3.0,2.75,2.46,1.83,3.0,13.04
03/31/2025 22:11:59,Judge 18,4A,Project 4,2.22,0.97,3.0,1.04,3.0,10.23
03/31/2025 22:39:12,Judge 9,4A,Project 4,0.81,3.0,2.82,0.0,1.35,7.97
03/31/2025 22:43:43,Judge 5,5A,Project 5,3.0,0.0,1.06,0.0,0.81,4.87
03/31/2025 22:59:50,Judge 9,5A,Project 5,2.4,2.13,1.92,0.8,3.0,10.26
03/31/2025 22:12:21,Judge 10,5A,Project 5,3.0,1.6,2.73,2.48,1.07,10.88
03/31/2025 22:21:46,Judge 12,6A,Project 6,0.91,2.29,3.0,2.17,3.0,11.36
03/31/2025 22:05:03,Judge 13,6A,Project 6,0.46,1.67,0.02,0.57,2.01,4.73
03/31/2025 22:21:41,Judge 16,6A,Project 6,3.0,1.6,2.49,2.57,2.2,11.85
03/31/2025 22:14:21,Judge 16,7A,Project 7,1.9,1.33,1.6,3.0,1.17,8.99
03/31/2025 22:02:51,Judge 4,7A,Project 7,2.13,1.41,1.77,2.81,1.71,9.82
03/31/2025 22:40:25,Judge 9,7A,Project 7,0.55,0.63,1.73,2.03,0.27,5.2
03/31/2025 22:58:44,Judge 4,8A,Project 8,3.0,2.55,0.46,2.13,1.41,9.55
03/31/2025 22:15:24,Judge 14,8A,Project 8,2.23,1.14,2.81,0.34,3.0,9.52
03/31/2025 22:56:05,Judge 13,8A,Project 8,0.0,3.0,3.0,1.62,2.02,9.64
03/31/2025 22:25:14,Judge 15,9A,Project 9,0.83,0.84,3.0,2.71,1.92,9.31
03/31/2025 22:56:56,Judge 11,9A,Project 9,0.36,2.12,2.32,2.13,1.67,8.6
03/31/2025 22:31:09,Judge 4,9A,Project 9,0.99,2.97,0.8,3.0,1.27,9.02
03/31/2025 22:02:27,Judge 16,10A,Project 10,2.5,1.46,2.51,3.0,2.82,12.29
03/31/2025 22:08:14,Judge 13,10A,Project 10,1.95,3.0,1.01,2.99,2.42,11.38
03/31/2025 22:16:38,Judge 17,10A,Project 10,2.5,1.65,1.5,2.6,0.47,8.73
03/31/2025 22:39:17,Judge 15,11A,Project 11,0.3,2.17,1.45,0.27,3.0,7.18
03/31/2025 22:01:24,Judge 13,11A,Project 11,3.0,0.83,0.0,1.48,3.0,8.31
03/31/2025 22:31:18,Judge 6,11A,Project 11,0.27,2.74,0.78,1.38,1.0,6.17
03/31/2025 22:54:08,Judge 20,12A,Project 12,1.6,1.39,3.0,0.53,0.15,6.67
03/31/2025 22:25:21,Judge 16,12A,Project 12,2.12,2.84,1.83,1.69,1.8,10.27
03/31/2025 22:18:18,Judge 19,12A,Project 12,2.64,2.12,1.89,0.7,2.23,9.58
03/31/2025 22:08:47,Judge 7,13A,Project 13,1.24,0.97,1.14,1.06,1.51,5.92
03/31/2025 22:31:11,Judge 14,13A,Project 13,1.37,1.25,2.52,0.17,0.44,5.75
03/31/2025 22:31:27,Judge 16,13A,Project 13,3.0,1.61,2.4,2.92,2.75,12.68
03/31/2025 22:55:32,Judge 2,14A,Project 14,3.0,2.75,2.48,2.2,2.65,13.08
03/31/2025 22:59:27,Judge 6,14A,Project 14,1.64,1.61,1.84,1.61,0.64,7.33
03/31/2025 22:09:08,Judge 5,14A,Project 14,2.78,1.21,1.22,3.0,0.65,8.86
03/31/2025 22:45:45,Judge 20,15A,Project 15,1.58,1.63,1.55,3.0,0.58,8.34
03/31/2025 22:29:09,Judge 11,15A,Project 15,0.46,1.37,2.6,1.37,1.76,7.55
03/31/2025 22:03:36,Judge 3,15A,Project 15,2.74,3.0,1.26,2.4,1.09,10.49
03/31/2025 22:43:13,Judge 19,16A,Project 16,2.44,1.76,1.61,1.85,0.86,8.51
03/31/2025 22:57:34,Judge 12,16A,Project 16,2.72,1.64,1.27,2.37,2.31,10.32
03/31/2025 22:35:25,Judge 10,16A,Project 16,1.17,1.89,0.91,2.76,2.95,9.67
03/31/2025 22:02:51,Judge 11,17A,Project 17,1.3,2.5,1.52,3.0,3.0,11.32
03/31/2025 22:43:42,Judge 20,17A,Project 17,2.09,3.0,1.14,3.0,2.38,11.61
03/31/2025 22:06:11,Judge 2,17A,Project 17,2.38,1.85,2.67,3.0,1.72,11.61
03/31/2025 22:25:11,Judge 13,18A,Project 18,0.98,1.7,2.02,1.74,1.94,8.37
03/31/2025 22:20:59,Judge 9,18A,Project 18,2.22,0.71,2.11,1.86,0.74,7.64
03/31/2025 22:46:52,Judge 12,18A,Project 18,1.33,1.87,1.39,0.0,3.0,7.59
03/31/2025 22:52:20,Judge 6,19A,Project 19,1.86,1.77,2.62,0.59,1.59,8.43
03/31/2025 22:04:24,Judge 8,19A,Project 19,2.7,3.0,2.83,1.44,2.83,12.79
03/31/2025 22:27:12,Judge 13,19A,Project 19,2.9,2.32,2.17,1.0,1.82,10.21
03/31/2025 22:50:20,Judge 19,20A,Project 20,2.87,3.0,2.2,2.17,2.7,12.94
03/31/2025 22:30:21,Judge 3,20A,Project 20,3.0,1.79,3.0,1.99,2.3,12.07
03/31/2025 22:27:21,Judge 14,20A,Project 20,0.3,2.48,2.34,2.25,3.0,10.36
